RIGHT_SHOULDER: (x: 0.8846257328987122, y: 0.569930374622345, z: 0.09119116514921188)
LEFT_ELBOW: (x: 0.8435465693473816, y: 0.6287590861320496, z: 0.066395103931427)
RIGHT_ELBOW: (x: 0.8890275955200195, y: 0.6315283179283142, z: 0.1084396094083786)
LEFT_WRIST: (x: 0.8340562582015991, y: 0.6194174289703369, z: 0.14845804870128632)
RIGHT_WRIST: (x: 0.8762466311454773, y: 0.6638795137405396, z: 0.1341758817434311)
LEFT_PINKY: (x: 0.8324623703956604, y: 0.6224033832550049, z: 0.15653777122497559)
RIGHT_PINKY: (x: 0.8735843300819397, y: 0.6728277802467346, z: 0.14093419909477234)
LEFT_INDEX: (x: 0.8341299295425415, y: 0.6178961992263794, z: 0.16092295944690704)
RIGHT_INDEX: (x: 0.870194673538208, y: 0.6696357727050781, z: 0.13997553288936615)
LEFT_THUMB: (x: 0.836982786655426, y: 0.6189172863960266, z: 0.15247268974781036)
RIGHT_THUMB: (x: 0.8699465394020081, y: 0.6652739644050598, z: 0.13420844078063965)
LEFT_HIP: (x: 0.8538641333580017, y: 0.6773171424865723, z: -0.030716460198163986)
RIGHT_HIP: (x: 0.8746486902236938, y: 0.6789212822914124, z: 0.030798284336924553)
LEFT_KNEE: (x: 0.8554711937904358, y: 0.7579174637794495, z: -0.0326598659157753)
RIGHT_KNEE: (x: 0.8722009658813477, y: 0.757754921913147, z: 0.04597572982311249)
LEFT_ANKLE: (x: 0.8653660416603088, y: 0.8473519682884216, z: -0.04763681814074516)
RIGHT_ANKLE: (x: 0.8682714700698853, y: 0.841878354549408, z: 0.03536134958267212)
LEFT_HEEL: (x: 0.8700001239776611, y: 0.865678071975708, z: -0.04958676919341087)
RIGHT_HEEL: (x: 0.8707506060600281, y: 0.8576905131340027, z: 0.03356843814253807)
LEFT_FOOT_INDEX: (x: 0.8484250903129578, y: 0.8552789092063904, z: -0.06161726266145706)
RIGHT_FOOT_INDEX: (x: 0.8562576770782471, y: 0.849588930606842, z: 0.0232548825442791)


Landmark coordinates for frame 0:
NOSE: (x: 0.8570212125778198, y: 0.5326828956604004, z: 0.15828198194503784)
LEFT_EYE_INNER: (x: 0.856017529964447, y: 0.5265044569969177, z: 0.1432466059923172)
LEFT_EYE: (x: 0.8551512956619263, y: 0.5265830159187317, z: 0.14325524866580963)
LEFT_EYE_OUTER: (x: 0.8542689681053162, y: 0.5267693400382996, z: 0.14320901036262512)
RIGHT_EYE_INNER: (x: 0.8592628836631775, y: 0.5261723399162292, z: 0.14739519357681274)
RIGHT_EYE: (x: 0.8607200384140015, y: 0.5259908437728882, z: 0.1473962962627411)
RIGHT_EYE_OUTER: (x: 0.862209677696228, y: 0.5259172916412354, z: 0.1473734974861145)
LEFT_EAR: (x: 0.8544853329658508, y: 0.5306724309921265, z: 0.08606217056512833)
RIGHT_EAR: (x: 0.8661108613014221, y: 0.52894127368927, z: 0.10390522330999374)
MOUTH_LEFT: (x: 0.8556710481643677, y: 0.5382170677185059, z: 0.1403598040342331)
MOUTH_RIGHT: (x: 0.8597344756126404, y: 0.5380769968032837, z: 0.14525406062602997)
LEFT_SHOULDER: (x: 0.8455504179000854, y: 0.5662587285041809, z: 0.03753786161541939)
RIGHT_SHOULDER: (x: 0.884701132774353, y: 0.5699431896209717, z: 0.091080442070961)
LEFT_ELBOW: (x: 0.8434325456619263, y: 0.628727912902832, z: 0.06715812534093857)
RIGHT_ELBOW: (x: 0.889063835144043, y: 0.631640613079071, z: 0.10827640444040298)
LEFT_WRIST: (x: 0.8339687585830688, y: 0.6189391016960144, z: 0.1496371328830719)
RIGHT_WRIST: (x: 0.8766172528266907, y: 0.6645909547805786, z: 0.133655846118927)
LEFT_PINKY: (x: 0.8325291872024536, y: 0.6223932504653931, z: 0.15783163905143738)
RIGHT_PINKY: (x: 0.8740930557250977, y: 0.67369145154953, z: 0.14029690623283386)
LEFT_INDEX: (x: 0.8342433571815491, y: 0.617899477481842, z: 0.16180507838726044)
RIGHT_INDEX: (x: 0.8707132935523987, y: 0.6705949306488037, z: 0.1392718106508255)
LEFT_THUMB: (x: 0.8370951414108276, y: 0.6189197897911072, z: 0.15348754823207855)
RIGHT_THUMB: (x: 0.8704185485839844, y: 0.666172444820404, z: 0.13364887237548828)
LEFT_HIP: (x: 0.8538606762886047, y: 0.6772889494895935, z: -0.03075597621500492)
RIGHT_HIP: (x: 0.8746603727340698, y: 0.6788872480392456, z: 0.03083823062479496)
LEFT_KNEE: (x: 0.855469286441803, y: 0.7578341960906982, z: -0.03271739184856415)
RIGHT_KNEE: (x: 0.8721877336502075, y: 0.7577018737792969, z: 0.0458134263753891)
LEFT_ANKLE: (x: 0.8653662800788879, y: 0.8473402261734009, z: -0.047929808497428894)
RIGHT_ANKLE: (x: 0.868242621421814, y: 0.8418124318122864, z: 0.034830525517463684)
LEFT_HEEL: (x: 0.8700082898139954, y: 0.8656710982322693, z: -0.0499342679977417)
RIGHT_HEEL: (x: 0.8707170486450195, y: 0.8575750589370728, z: 0.03297397866845131)
LEFT_FOOT_INDEX: (x: 0.8484241366386414, y: 0.855305552482605, z: -0.06194388493895531)
RIGHT_FOOT_INDEX: (x: 0.8562251925468445, y: 0.8495774269104004, z: 0.022113503888249397)


Landmark coordinates for frame 0:
NOSE: (x: 0.8570482134819031, y: 0.5325837135314941, z: 0.15861959755420685)
LEFT_EYE_INNER: (x: 0.8560519814491272, y: 0.526421308517456, z: 0.14363402128219604)
LEFT_EYE: (x: 0.8551902770996094, y: 0.5264988541603088, z: 0.14364385604858398)
LEFT_EYE_OUTER: (x: 0.8543125987052917, y: 0.5266817808151245, z: 0.1435980647802353)
RIGHT_EYE_INNER: (x: 0.8592919707298279, y: 0.5260970592498779, z: 0.14775244891643524)
RIGHT_EYE: (x: 0.8607524633407593, y: 0.5259205102920532, z: 0.1477532535791397)
RIGHT_EYE_OUTER: (x: 0.86224764585495, y: 0.525850236415863, z: 0.14773130416870117)
LEFT_EAR: (x: 0.8545452952384949, y: 0.5305932760238647, z: 0.08666087687015533)
RIGHT_EAR: (x: 0.8661817312240601, y: 0.5288750529289246, z: 0.10431822389364243)
MOUTH_LEFT: (x: 0.8557001352310181, y: 0.5381172895431519, z: 0.14075307548046112)
MOUTH_RIGHT: (x: 0.8597742319107056, y: 0.5379993319511414, z: 0.14560455083847046)
LEFT_SHOULDER: (x: 0.8455474376678467, y: 0.566163182258606, z: 0.03842317685484886)
RIGHT_SHOULDER: (x: 0.8847741484642029, y: 0.569959819316864, z: 0.09124855697154999)
LEFT_ELBOW: (x: 0.8432720899581909, y: 0.6286969780921936, z: 0.07057919353246689)
RIGHT_ELBOW: (x: 0.889087975025177, y: 0.6317501664161682, z: 0.1098075807094574)
LEFT_WRIST: (x: 0.8342750668525696, y: 0.6191715598106384, z: 0.15463027358055115)
RIGHT_WRIST: (x: 0.8767391443252563, y: 0.6646294593811035, z: 0.13768424093723297)
LEFT_PINKY: (x: 0.8328794836997986, y: 0.622431755065918, z: 0.16334430873394012)
RIGHT_PINKY: (x: 0.8742161393165588, y: 0.6736791729927063, z: 0.1445617377758026)
LEFT_INDEX: (x: 0.8354318737983704, y: 0.6182742714881897, z: 0.16667695343494415)
RIGHT_INDEX: (x: 0.8708429932594299, y: 0.6705743074417114, z: 0.14369609951972961)
LEFT_THUMB: (x: 0.8377918004989624, y: 0.6194273233413696, z: 0.15826234221458435)
RIGHT_THUMB: (x: 0.8705540299415588, y: 0.666163980960846, z: 0.13782842457294464)
LEFT_HIP: (x: 0.8538486957550049, y: 0.6772719621658325, z: -0.030848680064082146)
RIGHT_HIP: (x: 0.8746799230575562, y: 0.6788318157196045, z: 0.03093167021870613)
LEFT_KNEE: (x: 0.8554709553718567, y: 0.7577763199806213, z: -0.0335230752825737)
RIGHT_KNEE: (x: 0.8721734285354614, y: 0.757562518119812, z: 0.045315932482481)
LEFT_ANKLE: (x: 0.8653803467750549, y: 0.8473407030105591, z: -0.05075480043888092)
RIGHT_ANKLE: (x: 0.8682159185409546, y: 0.8417174220085144, z: 0.03144702687859535)
LEFT_HEEL: (x: 0.870042085647583, y: 0.86567223072052, z: -0.05300110578536987)
RIGHT_HEEL: (x: 0.8706876635551453, y: 0.8573853373527527, z: 0.029167072847485542)
LEFT_FOOT_INDEX: (x: 0.8484243154525757, y: 0.855377197265625, z: -0.06515625864267349)
RIGHT_FOOT_INDEX: (x: 0.8557208776473999, y: 0.8496004343032837, z: 0.01817585900425911)


Landmark coordinates for frame 0:
NOSE: (x: 0.8571199178695679, y: 0.5325706005096436, z: 0.1615120768547058)
LEFT_EYE_INNER: (x: 0.8561277985572815, y: 0.5264157056808472, z: 0.14671969413757324)
LEFT_EYE: (x: 0.8552678227424622, y: 0.5264925360679626, z: 0.14673122763633728)
LEFT_EYE_OUTER: (x: 0.8543922305107117, y: 0.5266743302345276, z: 0.1466856300830841)
RIGHT_EYE_INNER: (x: 0.8593738675117493, y: 0.5260940790176392, z: 0.15073825418949127)
RIGHT_EYE: (x: 0.8608422875404358, y: 0.5259184241294861, z: 0.15073880553245544)
RIGHT_EYE_OUTER: (x: 0.8623422384262085, y: 0.5258491039276123, z: 0.15071845054626465)
LEFT_EAR: (x: 0.8546408414840698, y: 0.5305784344673157, z: 0.09016064554452896)
RIGHT_EAR: (x: 0.8662779331207275, y: 0.5288674831390381, z: 0.10737552493810654)
MOUTH_LEFT: (x: 0.8557578921318054, y: 0.5380941033363342, z: 0.1437690258026123)
MOUTH_RIGHT: (x: 0.8598531484603882, y: 0.5379840135574341, z: 0.1484912484884262)
LEFT_SHOULDER: (x: 0.8455389738082886, y: 0.5661135315895081, z: 0.042488716542720795)
RIGHT_SHOULDER: (x: 0.8848479390144348, y: 0.5699772834777832, z: 0.09312807023525238)
LEFT_ELBOW: (x: 0.8430840373039246, y: 0.6286648511886597, z: 0.07665333896875381)
RIGHT_ELBOW: (x: 0.889098048210144, y: 0.6317787766456604, z: 0.11289432644844055)
LEFT_WRIST: (x: 0.8345102667808533, y: 0.6192024350166321, z: 0.16144520044326782)
RIGHT_WRIST: (x: 0.8769325613975525, y: 0.6651777029037476, z: 0.14249815046787262)
LEFT_PINKY: (x: 0.833163321018219, y: 0.6224555969238281, z: 0.1703975796699524)
RIGHT_PINKY: (x: 0.8745043277740479, y: 0.6743303537368774, z: 0.1494123339653015)
LEFT_INDEX: (x: 0.8362298607826233, y: 0.6185786724090576, z: 0.17336240410804749)
RIGHT_INDEX: (x: 0.8711479306221008, y: 0.6713515520095825, z: 0.14855541288852692)
LEFT_THUMB: (x: 0.8387795090675354, y: 0.614474356174469, z: 0.16495460271835327)
RIGHT_THUMB: (x: 0.8708162307739258, y: 0.666901707649231, z: 0.142720565199852)
LEFT_HIP: (x: 0.8538299202919006, y: 0.6772681474685669, z: -0.030813463032245636)
RIGHT_HIP: (x: 0.8747002482414246, y: 0.6787954568862915, z: 0.03089691326022148)
LEFT_KNEE: (x: 0.8554903864860535, y: 0.7577738165855408, z: -0.03367321193218231)
RIGHT_KNEE: (x: 0.8721733689308167, y: 0.7575300931930542, z: 0.04513545334339142)
LEFT_ANKLE: (x: 0.865383505821228, y: 0.8473361730575562, z: -0.05271468684077263)
RIGHT_ANKLE: (x: 0.8682072162628174, y: 0.8416184186935425, z: 0.02992626093327999)
LEFT_HEEL: (x: 0.870052695274353, y: 0.8656654357910156, z: -0.05522259324789047)
RIGHT_HEEL: (x: 0.8706716299057007, y: 0.8571849465370178, z: 0.027486061677336693)
LEFT_FOOT_INDEX: (x: 0.8484261631965637, y: 0.8553810119628906, z: -0.0674552470445633)
RIGHT_FOOT_INDEX: (x: 0.8557724356651306, y: 0.8495157957077026, z: 0.016604339703917503)


Landmark coordinates for frame 0:
NOSE: (x: 0.8573839664459229, y: 0.5324930548667908, z: 0.1623295396566391)
LEFT_EYE_INNER: (x: 0.856347918510437, y: 0.5263537168502808, z: 0.14765186607837677)
LEFT_EYE: (x: 0.8554655909538269, y: 0.5264334082603455, z: 0.1476641297340393)
LEFT_EYE_OUTER: (x: 0.854566216468811, y: 0.5266184210777283, z: 0.1476200670003891)
RIGHT_EYE_INNER: (x: 0.8596610426902771, y: 0.5260318517684937, z: 0.15148697793483734)
RIGHT_EYE: (x: 0.8611473441123962, y: 0.5258601903915405, z: 0.15148617327213287)
RIGHT_EYE_OUTER: (x: 0.8626420497894287, y: 0.5257964134216309, z: 0.15146584808826447)
LEFT_EAR: (x: 0.8547363877296448, y: 0.5305260419845581, z: 0.09142085909843445)
RIGHT_EAR: (x: 0.8664847612380981, y: 0.5287960767745972, z: 0.1078009232878685)
MOUTH_LEFT: (x: 0.8559417128562927, y: 0.5380051732063293, z: 0.1446712166070938)
MOUTH_RIGHT: (x: 0.860125720500946, y: 0.5379067063331604, z: 0.1491599977016449)
LEFT_SHOULDER: (x: 0.8454983830451965, y: 0.5660467743873596, z: 0.04378117620944977)
RIGHT_SHOULDER: (x: 0.8848716020584106, y: 0.5700006484985352, z: 0.09346199035644531)
LEFT_ELBOW: (x: 0.8429422974586487, y: 0.6286325454711914, z: 0.07842376828193665)
RIGHT_ELBOW: (x: 0.8890876173973083, y: 0.6318435668945312, z: 0.11429940164089203)
LEFT_WRIST: (x: 0.8348707556724548, y: 0.6194537281990051, z: 0.16289836168289185)
RIGHT_WRIST: (x: 0.8768959641456604, y: 0.6651374697685242, z: 0.1453741043806076)
LEFT_PINKY: (x: 0.8348378539085388, y: 0.6227881908416748, z: 0.17181290686130524)
RIGHT_PINKY: (x: 0.8744284510612488, y: 0.674232006072998, z: 0.1522921472787857)
LEFT_INDEX: (x: 0.8371648788452148, y: 0.6189548969268799, z: 0.1742943376302719)
RIGHT_INDEX: (x: 0.8710640072822571, y: 0.6711987853050232, z: 0.15135054290294647)
LEFT_THUMB: (x: 0.8401740789413452, y: 0.6145140528678894, z: 0.1661710888147354)
